bairro,precos,quartos,areas
Cidade-Industrial,650.0,2,46
Cidade-Industrial,1800.0,,112
Cidade-Industrial,1100.0,2,46
Cidade-Industrial,950.0,3,45
Cidade-Industrial,1550.0,2,51
Cidade-Industrial,750.0,3,47
Cidade-Industrial,1650.0,2,60
Cidade-Industrial,1679.0,2,50
Cidade-Industrial,3800.0,3,105
Cidade-Industrial,1000.0,3,45
Cidade-Industrial,550.0,2,47
Cidade-Industrial,1649.0,1,47
Cidade-Industrial,850.0,2,47
Cidade-Industrial,1050.0,2,42
Cidade-Industrial,950.0,3,42
Cidade-Industrial,1000.0,2,60
Cidade-Industrial,653.0,2,50
Cidade-Industrial,750.0,2,53
Cidade-Industrial,1000.0,2,40
Cidade-Industrial,920.0,2,42
Cidade-Industrial,1000.0,1,33
Cidade-Industrial,1037.0,2,62
Cidade-Industrial,1318.0,5,102
Cidade-Industrial,3200.0,2,50
Cidade-Industrial,1040.0,2,46
Cidade-Industrial,1635.0,1,20
Cidade-Industrial,793.0,2,46
Cidade-Industrial,625.0,2,47
Cidade-Industrial,1429.0,1,50
Cidade-Industrial,760.0,2,46
Cidade-Industrial,1431.0,2,46
Cidade-Industrial,1100.0,2,50
Cidade-Industrial,780.0,1,30
Cidade-Industrial,500.0,2,44
Cidade-Industrial,750.0,3,46
Cidade-Industrial,750.0,2,42
Cidade-Industrial,800.0,2,40
Cidade-Industrial,750.0,1,49
Cidade-Industrial,650.0,1,66
Cidade-Industrial,650.0,2,74
Cidade-Industrial,500.0,2,40
Cidade-Industrial,750.0,2,64
,420.0,,
,550.0,,
Cristo-Rei,1200.0,2,55
Cristo-Rei,3200.0,3,78
Cristo-Rei,2550.0,2,66
Cristo-Rei,1800.0,3,104
Cristo-Rei,1450.0,1,32
Cristo-Rei,1190.0,1,25
Cristo-Rei,650.0,1,50
Cristo-Rei,2100.0,3,113
Cristo-Rei,1050.0,2,49
Cristo-Rei,1090.0,1,25
Cristo-Rei,1600.0,3,117
Cristo-Rei,1250.0,3,97
Cristo-Rei,1190.0,1,33
Cristo-Rei,1190.0,1,25
Cristo-Rei,6500.0,4,184
Cristo-Rei,4800.0,4,209
Cristo-Rei,1100.0,1,38
Cristo-Rei,8900.0,3,150
Cristo-Rei,990.0,1,24
Cristo-Rei,1190.0,1,24
Cristo-Rei,1190.0,1,24
Cristo-Rei,6900.0,3,149
Cristo-Rei,1190.0,1,25
Cristo-Rei,990.0,1,24
Cristo-Rei,1200.0,3,70
Cristo-Rei,1200.0,3,70
Cristo-Rei,1450.0,3,128
Cristo-Rei,1300.0,1,50
Cristo-Rei,900.0,2,60
Cristo-Rei,1990.0,3,150
Cristo-Rei,5900.0,3,150
Cristo-Rei,8900.0,3,150
Cristo-Rei,1200.0,3,75
Cristo-Rei,1080.0,1,50
Cristo-Rei,1650.0,1,44
Cristo-Rei,1200.0,2,40
Cristo-Rei,1250.0,2,80
Cristo-Rei,1490.0,3,87
Cristo-Rei,950.0,2,66
Cristo-Rei,1200.0,1,68
Cristo-Rei,1200.0,2,61
Cristo-Rei,1500.0,3,93
Cristo-Rei,900.0,2,60
Cristo-Rei,650.0,1,40
Cristo-Rei,750.0,1,25
Fanny,1280.0,1,50
Fanny,800.0,1,35
Fanny,1340.0,2,55
Fanny,880.0,2,52
Fanny,1000.0,2,46
Fanny,690.0,2,70
Fazendinha,850.0,1,40
Fazendinha,550.0,3,53
Fazendinha,1200.0,3,60
Fazendinha,1100.0,2,44
Fazendinha,780.0,2,30
Fazendinha,2091.0,3,89
Fazendinha,780.0,2,30
Fazendinha,637.0,1,30
Fazendinha,850.0,3,58
Fazendinha,950.0,3,57
Fazendinha,700.0,2,44
Fazendinha,580.0,1,53
Fazendinha,700.0,3,58
Fazendinha,950.0,2,56
Guabirotuba,1100.0,3,60
Guabirotuba,1100.0,1,50
Guabirotuba,750.0,3,64
Guabirotuba,400.0,1,33
Guabirotuba,450.0,1,33
Guaira,1400.0,1,28
Guaira,1200.0,1,28
Guaira,1200.0,2,64
Guaira,1200.0,1,73
,1200.0,,
Hauer,1250.0,3,100
Hauer,699.0,2,52
Hauer,4500.0,4,154
Hauer,900.0,3,58
Hauer,500.0,1,42
Hauer,750.0,1,50
Hauer,950.0,1,65
Hauer,699.0,2,40
Hauer,1160.0,3,65
Hugo-Lange,743.0,1,51
Hugo-Lange,1600.0,3,75
Hugo-Lange,1600.0,3,75
Jardim-Botanico,650.0,1,29
Jardim-Botanico,7000.0,3,123
Jardim-Botanico,1300.0,3,140
Jardim-Botanico,1500.0,3,140
Jardim-Botanico,1400.0,3,140
Jardim-Botanico,1343.0,3,89
Jardim-Botanico,2144.0,2,250
Jardim-Botanico,3700.0,3,260
Jardim-Botanico,1200.0,1,30
Jardim-Botanico,900.0,2,62
Jardim-Botanico,1200.0,3,71
Jardim-das-Americas,1105.0,1,32
Jardim-das-Americas,5000.0,5,600
Jardim-das-Americas,5999.0,4,204
Jardim-das-Americas,1600.0,1,32
Jardim-das-Americas,2300.0,2,140
Jardim-das-Americas,3200.0,3,200
Jardim-Social,975.0,2,80
Jardim-Social,1500.0,1,49
Jardim-Social,2500.0,2,72
Jardim-Social,3000.0,3,104
Jardim-Social,1100.0,2,74
Jardim-Social,15000.0,4,999
Jardim-Social,1100.0,2,74
Juveve,1600.0,3,75
Juveve,714.0,1,36
Juveve,1070.0,3,110
Juveve,2500.0,2,60
Juveve,950.0,1,60
Juveve,1680.0,3,135
Juveve,1600.0,1,40
Juveve,2500.0,2,60
Juveve,2500.0,2,60
Juveve,1600.0,1,40
Juveve,1600.0,1,40
Juveve,1100.0,2,89
Lindoia,800.0,1,25
Lindoia,1120.0,1,30
Lindoia,1645.0,2,51
Lindoia,1659.0,2,51
Merces,990.0,1,50
Merces,1600.0,1,47
Merces,1600.0,1,47
Merces,2300.0,3,120
Merces,1650.0,2,99
Merces,930.0,1,44
Merces,930.0,1,44
Merces,1500.0,3,110
Merces,1500.0,3,110
Merces,4700.0,4,183
Merces,700.0,1,40
Merces,720.0,1,40
Merces,1300.0,1,22
Merces,1200.0,1,20
Merces,7000.0,4,300
Merces,5000.0,4,336
Merces,3806.0,4,116
Merces,1250.0,1,22
Merces,1800.0,1,35
Merces,1650.0,3,114
Mossungue,9300.0,3,227
Mossungue,9300.0,3,227
Mossungue,9300.0,3,227
Mossungue,9300.0,3,227
Mossungue,850.0,3,67
Mossungue,22000.0,4,582
Mossungue,9300.0,3,227
Mossungue,9300.0,3,227
Mossungue,9300.0,3,227
Mossungue,7200.0,3,251
Mossungue,9300.0,3,227
Mossungue,1200.0,2,62
Mossungue,2950.0,2,121
Mossungue,15000.0,4,500
Mossungue,3950.0,3,160
Mossungue,3900.0,3,129
Novo-Mundo,1000.0,2,60
Novo-Mundo,2060.0,2,63
Novo-Mundo,1200.0,2,61
Novo-Mundo,790.0,3,57
Novo-Mundo,500.0,2,52
Novo-Mundo,1435.0,2,60
Novo-Mundo,900.0,3,90
Novo-Mundo,950.0,3,59
Novo-Mundo,920.0,3,76
Novo-Mundo,950.0,2,47
Novo-Mundo,830.0,1,45
Novo-Mundo,1250.0,3,122
Novo-Mundo,1200.0,2,45
Novo-Mundo,860.0,1,25
Novo-Mundo,1050.0,3,60
Novo-Mundo,850.0,1,28
Novo-Mundo,2130.0,3,162
Novo-Mundo,850.0,1,33
Novo-Mundo,1300.0,1,36
Novo-Mundo,750.0,3,57
Novo-Mundo,850.0,1,28
Novo-Mundo,900.0,1,25
Novo-Mundo,900.0,1,25
Novo-Mundo,900.0,3,67
Novo-Mundo,1000.0,3,65
Novo-Mundo,800.0,2,47
,900.0,,
Orleans,1400.0,2,50
Orleans,3500.0,3,250
Orleans,1400.0,2,50
Parolin,800.0,2,60
Pilarzinho,2100.0,2,59
Pilarzinho,790.0,3,64
Pilarzinho,700.0,1,40
Pilarzinho,950.0,2,80
Pilarzinho,2350.0,3,170
Pilarzinho,995.0,1,60
Pilarzinho,880.0,2,80
Pilarzinho,829.0,1,30
Pilarzinho,1400.0,3,127
Pinheirinho,700.0,2,73
Pinheirinho,1300.0,2,51
Pinheirinho,650.0,2,53
Pinheirinho,1190.0,2,51
Pinheirinho,1000.0,3,91
Pinheirinho,900.0,3,63
Pinheirinho,22000.0,,"1,200"
Pinheirinho,700.0,3,61
Pinheirinho,900.0,3,70
Pinheirinho,790.0,2,50
Pinheirinho,890.0,2,50
Pinheirinho,2266.0,3,150
Pinheirinho,5990.0,4,450
Pinheirinho,3007.0,4,350
Pinheirinho,890.0,2,50
Pinheirinho,950.0,2,47
Pinheirinho,900.0,1,40
,520.0,,
Portao,1300.0,2,60
Portao,299000.0,3,74
Portao,1150.0,2,50
Portao,880.0,1,37
Portao,1200.0,2,60
Portao,4150.0,3,120
Portao,1100.0,1,45
Portao,3900.0,3,113
Portao,650.0,1,30
Portao,1300.0,,35
Portao,1500.0,1,70
Portao,900.0,1,53
Portao,1250.0,3,110
Portao,800.0,1,30
Portao,1100.0,2,83
Portao,900.0,3,84
Portao,900.0,1,47
Portao,930.0,3,60
Portao,750.0,3,70
Portao,700.0,2,47
Portao,850.0,2,46
Portao,2300.0,3,110
Prado-Velho,1100.0,1,18
Prado-Velho,750.0,1,36
Prado-Velho,900.0,1,32
Prado-Velho,1100.0,1,19
Prado-Velho,716.0,1,64
Prado-Velho,800.0,1,63
Prado-Velho,1150.0,3,59
Prado-Velho,750.0,1,36
Reboucas,1100.0,1,57
Reboucas,1648.0,1,29
Reboucas,990.0,1,28
Reboucas,750.0,1,33
Reboucas,690.0,1,33
Reboucas,800.0,1,33
Reboucas,1800.0,1,30
Reboucas,2890.0,1,28
Reboucas,783.0,1,34
Reboucas,679.0,1,33
Reboucas,680.0,1,32
Reboucas,679.0,1,33
Reboucas,788.0,1,40
Reboucas,950.0,2,78
Reboucas,1100.0,3,103
Reboucas,1450.0,2,58
Reboucas,1350.0,1,35
Reboucas,700.0,1,28
Reboucas,1600.0,1,30
Reboucas,499.0,2,60
Reboucas,920.0,2,61
Reboucas,1578.0,1,37
Reboucas,1000.0,2,60
Reboucas,960.0,1,17
Reboucas,553.0,3,80
Reboucas,1100.0,3,128
Reboucas,1367.0,1,28
Reboucas,1600.0,,117
Reboucas,1800.0,3,80
Reboucas,1100.0,1,45
Reboucas,1000.0,4,214
Reboucas,3500.0,2,53
Reboucas,1200.0,1,36
Reboucas,1650.0,1,43
Reboucas,900.0,2,67
Reboucas,1277.0,1,45
Reboucas,1000.0,1,25
Reboucas,1250.0,3,98
Reboucas,2672.0,2,60
Reboucas,960.0,2,87
Reboucas,1100.0,2,50
Reboucas,810.0,2,63
Reboucas,960.0,2,57
Reboucas,850.0,2,63
Reboucas,960.0,1,30
Reboucas,1500.0,1,34
Reboucas,1330.0,2,67
,1640.0,,
Santa-Candida,950.0,2,64
Santa-Candida,1689.0,2,46
Santa-Candida,1387.0,2,48
Santa-Candida,900.0,3,62
Santa-Candida,700.0,2,40
Santa-Candida,900.0,1,58
Santa-Candida,990.0,1,25
Santa-Candida,1160.0,1,25
Santa-Candida,1105.0,1,50
Santa-Candida,950.0,2,53
Santa-Candida,1000.0,1,25
Santa-Candida,1471.0,2,46
Santa-Candida,1160.0,1,25
Santa-Candida,1160.0,1,25
Santa-Candida,1160.0,1,25
Santa-Candida,990.0,1,25
Santa-Candida,1160.0,1,25
Santa-Candida,1160.0,1,25
Santa-Candida,1160.0,1,25
Santa-Candida,650.0,2,47
Santa-Candida,650.0,2,45
Santa-Felicidade,1143.0,3,49
Santa-Felicidade,2200.0,2,65
Santa-Felicidade,15000.0,8,380
Santa-Quiteria,1050.0,2,60
Santa-Quiteria,4000.0,3,75
Santa-Quiteria,978.0,1,20
Santa-Quiteria,800.0,1,30
Santo-Inacio,1200.0,2,85
Santo-Inacio,2300.0,3,63
Santo-Inacio,2750.0,2,100
Santo-Inacio,6000.0,5,340
Santo-Inacio,600.0,1,25
Santo-Inacio,600.0,1,25
Seminario,800.0,2,25
Seminario,850.0,2,95
Seminario,1200.0,2,79
Seminario,1200.0,3,101
Seminario,2200.0,3,103
Sao-Lourenco,700.0,1,40
Sao-Lourenco,3950.0,3,194
Sao-Lourenco,750.0,2,60
Sao-Braz,850.0,1,25
Sao-Braz,1200.0,2,55
Sao-Braz,2500.0,3,142
,1300.0,,
Sao-Francisco,750.0,1,40
Sao-Francisco,1360.0,3,67
Sao-Francisco,1130.0,1,57
Sao-Francisco,1451.0,3,67
Sao-Francisco,1350.0,3,67
Sao-Francisco,1347.0,3,67
Sao-Francisco,930.0,1,29
Sao-Francisco,1000.0,1,35
Sao-Francisco,1965.0,2,65
Sao-Francisco,1300.0,3,171
Sao-Francisco,1100.0,1,36
Sao-Francisco,1600.0,2,78
Sao-Francisco,1100.0,1,28
Sao-Francisco,2500.0,3,119
Sao-Francisco,1250.0,1,50
Sao-Francisco,1700.0,3,108
Sao-Francisco,1450.0,2,62
Sao-Francisco,1275.0,1,50
Sao-Francisco,750.0,1,31
Sao-Francisco,1400.0,1,40
Sao-Francisco,1050.0,1,35
Sao-Francisco,4500.0,5,450
Sao-Francisco,800.0,1,45
Sao-Francisco,1100.0,1,35
Sao-Francisco,950.0,1,29
Sao-Francisco,1300.0,3,170
Sao-Francisco,980.0,1,35
Sao-Francisco,1300.0,2,90
Sao-Francisco,980.0,1,29
Sao-Francisco,750.0,1,29
Sitio-Cercado,550.0,2,50
Sitio-Cercado,950.0,2,65
Sitio-Cercado,1100.0,2,34
Sitio-Cercado,880.0,2,43
Sitio-Cercado,1100.0,2,47
Sitio-Cercado,850.0,2,42
Sitio-Cercado,270000.0,3,71
Sitio-Cercado,1000.0,2,42
Sitio-Cercado,1000.0,2,50
Sitio-Cercado,2001.0,2,200
Sitio-Cercado,900.0,2,44
Sitio-Cercado,590.0,1,33
Sitio-Cercado,590.0,1,33
Sitio-Cercado,590.0,1,33
Sitio-Cercado,590.0,1,30
Sitio-Cercado,590.0,1,30
Sitio-Cercado,590.0,1,30
Sitio-Cercado,590.0,1,30
Sitio-Cercado,569.0,1,22
Sitio-Cercado,616.0,1,22
Sitio-Cercado,850.0,1,30
Sitio-Cercado,600.0,1,22
Sitio-Cercado,650.0,1,25
Sitio-Cercado,750.0,2,46
Sitio-Cercado,500.0,1,28
Sitio-Cercado,500.0,1,33
Sitio-Cercado,1700.0,1,50
Sitio-Cercado,720.0,2,49
Sitio-Cercado,590.0,1,30
Sitio-Cercado,500.0,1,37
Sitio-Cercado,670.0,2,56
Sitio-Cercado,500.0,1,22
Sitio-Cercado,600.0,2,49
Sitio-Cercado,700.0,2,70
Taruma,795.0,1,36
Taruma,950.0,1,27
Taruma,1300.0,1,28
Taruma,5000.0,3,190
Taruma,1600.0,1,40
Taruma,1900.0,1,45
Tatuquara,700.0,2,47
Tatuquara,650.0,2,47
Tingui,1899.0,2,53
Tingui,1600.0,3,78
Tingui,1150.0,2,55
Tingui,1250.0,2,53
Tingui,1280.0,2,67
Tingui,1250.0,2,62
Tingui,296000.0,2,50
Tingui,277000.0,2,71
Tingui,267000.0,2,77
Tingui,227000.0,2,50
Tingui,1150.0,2,60
Tingui,1900.0,3,160
Tingui,1100.0,2,66
Tingui,1250.0,2,77
Tingui,1300.0,2,62
Tingui,1100.0,2,59
Tingui,1090.0,2,55
Tingui,1000.0,2,52
Uberaba,1300.0,2,40
Uberaba,1350.0,3,66
Uberaba,665.0,1,60
Uberaba,1000.0,2,47
Uberaba,500.0,1,30
Uberaba,1100.0,2,60
Uberaba,620.0,1,50
Uberaba,1260.0,2,65
Uberaba,640.0,1,50
Uberaba,620.0,1,50
Uberaba,11500.0,4,400
Uberaba,1520.0,2,50
Uberaba,1530.0,2,55
Uberaba,3800.0,4,270
Uberaba,1500.0,2,56
Uberaba,1000.0,3,57
Uberaba,1500.0,2,58
Vila-Izabel,4050.0,2,98
Vila-Izabel,1900.0,3,115
Vila-Izabel,1650.0,1,40
Vila-Izabel,3200.0,1,55
Vila-Izabel,1790.0,3,101
Vila-Izabel,1300.0,3,95
Vila-Izabel,1600.0,3,93
Vila-Izabel,1250.0,3,86
Vila-Izabel,1500.0,3,109
Vila-Izabel,2000.0,3,109
Vila-Izabel,1300.0,3,82
Vila-Izabel,2700.0,3,175
Vila-Izabel,2300.0,3,103
Vila-Izabel,1700.0,1,47
Vila-Izabel,2856.0,2,65
Vila-Izabel,1900.0,3,116
Vila-Izabel,4900.0,3,200
Vila-Izabel,1300.0,,58
Vila-Izabel,2100.0,3,88
Vila-Izabel,700.0,3,96
Vista-Alegre,1200.0,1,30
Vista-Alegre,9000.0,5,490
Vista-Alegre,800.0,,30
Xaxim,1170.0,3,61
Xaxim,1200.0,,55
Xaxim,1800.0,,67
Xaxim,7000.0,4,230
Xaxim,500.0,1,40
Xaxim,1100.0,3,100
Xaxim,1000.0,2,55
Xaxim,900.0,2,52
Xaxim,960.0,2,50
Xaxim,3500.0,3,360
Xaxim,880.0,1,31
Xaxim,900.0,2,77
Xaxim,1230.0,2,70
Xaxim,1160.0,2,55
Xaxim,1200.0,3,62
Xaxim,630.0,1,30
Xaxim,750.0,3,75
Xaxim,650.0,1,30
Agua-Verde,3500.0,2,80
Agua-Verde,2200.0,1,32
Agua-Verde,1474.0,2,76
Agua-Verde,1990.0,4,270
